photo_a,photo_b,breed_a,breed_b,pile_a,pile_b,dhash_distance,phash_distance,confirmed_copy,exact_copy,same_breed,crosses_piles,pile_pair
n02093256-Staffordshire_bullterrier/n02093256_6177.jpg,n02093428-American_Staffordshire_terrier/n02093428_8454.jpg,n02093256-Staffordshire_bullterrier,n02093428-American_Staffordshire_terrier,train,train,0,0,True,True,False,False,train-train
n02093859-Kerry_blue_terrier/n02093859_1697.jpg,n02095314-wire-haired_fox_terrier/n02095314_3495.jpg,n02093859-Kerry_blue_terrier,n02095314-wire-haired_fox_terrier,train,train,0,0,True,False,False,False,train-train
n02093991-Irish_terrier/n02093991_114.jpg,n02095314-wire-haired_fox_terrier/n02095314_80.jpg,n02093991-Irish_terrier,n02095314-wire-haired_fox_terrier,test,test,0,0,True,True,False,False,test-test
n02094114-Norfolk_terrier/n02094114_1020.jpg,n02094258-Norwich_terrier/n02094258_880.jpg,n02094114-Norfolk_terrier,n02094258-Norwich_terrier,train,train,0,0,True,True,False,False,train-train
n02094114-Norfolk_terrier/n02094114_1696.jpg,n02094258-Norwich_terrier/n02094258_1408.jpg,n02094114-Norfolk_terrier,n02094258-Norwich_terrier,train,train,0,0,True,True,False,False,train-train
n02095314-wire-haired_fox_terrier/n02095314_2038.jpg,n02095570-Lakeland_terrier/n02095570_95.jpg,n02095314-wire-haired_fox_terrier,n02095570-Lakeland_terrier,train,train,0,0,True,False,False,False,train-train
n02095314-wire-haired_fox_terrier/n02095314_2754.jpg,n02095570-Lakeland_terrier/n02095570_3101.jpg,n02095314-wire-haired_fox_terrier,n02095570-Lakeland_terrier,train,train,0,0,True,True,False,False,train-train
n02095314-wire-haired_fox_terrier/n02095314_2964.jpg,n02095570-Lakeland_terrier/n02095570_5404.jpg,n02095314-wire-haired_fox_terrier,n02095570-Lakeland_terrier,train,train,0,0,True,True,False,False,train-train
n02095314-wire-haired_fox_terrier/n02095314_3509.jpg,n02095570-Lakeland_terrier/n02095570_6443.jpg,n02095314-wire-haired_fox_terrier,n02095570-Lakeland_terrier,train,train,0,0,True,True,False,False,train-train
n02095570-Lakeland_terrier/n02095570_1575.jpg,n02095889-Sealyham_terrier/n02095889_1582.jpg,n02095570-Lakeland_terrier,n02095889-Sealyham_terrier,train,val,0,0,True,True,False,True,train-val
n02097047-miniature_schnauzer/n02097047_951.jpg,n02097209-standard_schnauzer/n02097209_583.jpg,n02097047-miniature_schnauzer,n02097209-standard_schnauzer,train,train,0,0,True,True,False,False,train-train
n02097130-giant_schnauzer/n02097130_857.jpg,n02097209-standard_schnauzer/n02097209_585.jpg,n02097130-giant_schnauzer,n02097209-standard_schnauzer,test,train,0,0,True,True,False,True,train-test
n02097298-Scotch_terrier/n02097298_2083.jpg,n02098286-West_Highland_white_terrier/n02098286_830.jpg,n02097298-Scotch_terrier,n02098286-West_Highland_white_terrier,test,test,0,0,True,True,False,False,test-test
n02097474-Tibetan_terrier/n02097474_4907.jpg,n02098105-soft-coated_wheaten_terrier/n02098105_2456.jpg,n02097474-Tibetan_terrier,n02098105-soft-coated_wheaten_terrier,train,train,0,0,True,True,False,False,train-train
n02104365-schipperke/n02104365_9552.jpg,n02105056-groenendael/n02105056_2194.jpg,n02104365-schipperke,n02105056-groenendael,test,train,0,0,True,True,False,True,train-test
n02106030-collie/n02106030_10021.jpg,n02106166-Border_collie/n02106166_4107.jpg,n02106030-collie,n02106166-Border_collie,train,train,0,0,True,True,False,False,train-train
n02106030-collie/n02106030_14811.jpg,n02106166-Border_collie/n02106166_6084.jpg,n02106030-collie,n02106166-Border_collie,train,train,0,0,True,True,False,False,train-train
n02106030-collie/n02106030_15829.jpg,n02106166-Border_collie/n02106166_6512.jpg,n02106030-collie,n02106166-Border_collie,train,train,0,0,True,True,False,False,train-train
n02106030-collie/n02106030_16338.jpg,n02106166-Border_collie/n02106166_6710.jpg,n02106030-collie,n02106166-Border_collie,val,train,0,0,True,True,False,True,train-val
n02106030-collie/n02106030_2522.jpg,n02106166-Border_collie/n02106166_1031.jpg,n02106030-collie,n02106166-Border_collie,test,train,0,0,True,True,False,True,train-test
n02106030-collie/n02106030_873.jpg,n02106166-Border_collie/n02106166_346.jpg,n02106030-collie,n02106166-Border_collie,train,val,0,0,True,True,False,True,train-val
n02107683-Bernese_mountain_dog/n02107683_5397.jpg,n02107908-Appenzeller/n02107908_3531.jpg,n02107683-Bernese_mountain_dog,n02107908-Appenzeller,train,train,0,0,True,True,False,False,train-train
n02107683-Bernese_mountain_dog/n02107683_71.jpg,n02107908-Appenzeller/n02107908_47.jpg,n02107683-Bernese_mountain_dog,n02107908-Appenzeller,test,train,0,0,True,True,False,True,train-test
n02109961-Eskimo_dog/n02109961_2317.jpg,n02110185-Siberian_husky/n02110185_1614.jpg,n02109961-Eskimo_dog,n02110185-Siberian_husky,test,train,0,0,True,True,False,True,train-test
n02109961-Eskimo_dog/n02109961_5924.jpg,n02110185-Siberian_husky/n02110185_4115.jpg,n02109961-Eskimo_dog,n02110185-Siberian_husky,test,train,0,0,True,True,False,True,train-test
n02113624-toy_poodle/n02113624_1804.jpg,n02113712-miniature_poodle/n02113712_1252.jpg,n02113624-toy_poodle,n02113712-miniature_poodle,train,train,0,0,True,True,False,False,train-train
n02113624-toy_poodle/n02113624_2244.jpg,n02113712-miniature_poodle/n02113712_1546.jpg,n02113624-toy_poodle,n02113712-miniature_poodle,test,train,0,0,True,True,False,True,train-test
n02113624-toy_poodle/n02113624_2258.jpg,n02113712-miniature_poodle/n02113712_1558.jpg,n02113624-toy_poodle,n02113712-miniature_poodle,val,train,0,0,True,True,False,True,train-val
n02113712-miniature_poodle/n02113712_230.jpg,n02113799-standard_poodle/n02113799_254.jpg,n02113712-miniature_poodle,n02113799-standard_poodle,val,val,0,0,True,True,False,False,val-val
n02115641-dingo/n02115641_2440.jpg,n02115913-dhole/n02115913_739.jpg,n02115641-dingo,n02115913-dhole,test,test,0,0,True,True,False,False,test-test
n02089867-Walker_hound/n02089867_2653.jpg,n02089973-English_foxhound/n02089973_2905.jpg,n02089867-Walker_hound,n02089973-English_foxhound,train,train,1,0,True,False,False,False,train-train
n02095314-wire-haired_fox_terrier/n02095314_3166.jpg,n02095889-Sealyham_terrier/n02095889_1820.jpg,n02095314-wire-haired_fox_terrier,n02095889-Sealyham_terrier,train,train,1,0,True,False,False,False,train-train
n02097047-miniature_schnauzer/n02097047_2426.jpg,n02097209-standard_schnauzer/n02097209_1170.jpg,n02097047-miniature_schnauzer,n02097209-standard_schnauzer,train,test,1,0,True,False,False,True,train-test
n02089867-Walker_hound/n02089867_3608.jpg,n02089973-English_foxhound/n02089973_1076.jpg,n02089867-Walker_hound,n02089973-English_foxhound,test,test,2,2,True,False,False,False,test-test
n02094114-Norfolk_terrier/n02094114_745.jpg,n02094258-Norwich_terrier/n02094258_880.jpg,n02094114-Norfolk_terrier,n02094258-Norwich_terrier,train,train,2,6,True,False,False,False,train-train
n02091134-whippet/n02091134_16337.jpg,n02105251-briard/n02105251_4659.jpg,n02091134-whippet,n02105251-briard,train,train,5,6,True,False,False,False,train-train
