photo,pile,breed,copy_in_train,copy_breed,dhash_distance,phash_distance,exact_copy,same_breed
n02112706-Brabancon_griffon/n02112706_2161.jpg,test,n02112706-Brabancon_griffon,n02112706-Brabancon_griffon/n02112706_1202.jpg,n02112706-Brabancon_griffon,0,0,True,True
n02112706-Brabancon_griffon/n02112706_866.jpg,test,n02112706-Brabancon_griffon,n02112706-Brabancon_griffon/n02112706_62.jpg,n02112706-Brabancon_griffon,0,0,True,True
n02113186-Cardigan/n02113186_11400.jpg,test,n02113186-Cardigan,n02113186-Cardigan/n02113186_1030.jpg,n02113186-Cardigan,0,0,True,True
n02113624-toy_poodle/n02113624_2244.jpg,test,n02113624-toy_poodle,n02113712-miniature_poodle/n02113712_1546.jpg,n02113712-miniature_poodle,0,0,True,False
n02113978-Mexican_hairless/n02113978_1323.jpg,test,n02113978-Mexican_hairless,n02113978-Mexican_hairless/n02113978_737.jpg,n02113978-Mexican_hairless,0,0,True,True
n02115913-dhole/n02115913_1142.jpg,test,n02115913-dhole,n02115913-dhole/n02115913_2029.jpg,n02115913-dhole,0,0,True,True
n02085782-Japanese_spaniel/n02085782_186.jpg,val,n02085782-Japanese_spaniel,n02086646-Blenheim_spaniel/n02086646_172.jpg,n02086646-Blenheim_spaniel,0,0,True,False
n02087046-toy_terrier/n02087046_2419.jpg,val,n02087046-toy_terrier,n02087046-toy_terrier/n02087046_6003.jpg,n02087046-toy_terrier,4,8,False,True
n02088094-Afghan_hound/n02088094_3989.jpg,val,n02088094-Afghan_hound,n02088094-Afghan_hound/n02088094_1270.jpg,n02088094-Afghan_hound,4,6,False,True
n02088466-bloodhound/n02088466_7462.jpg,val,n02088466-bloodhound,n02090379-redbone/n02090379_3300.jpg,n02090379-redbone,0,0,True,False
n02088466-bloodhound/n02088466_9356.jpg,val,n02088466-bloodhound,n02088466-bloodhound/n02088466_9023.jpg,n02088466-bloodhound,1,0,False,True
n02089078-black-and-tan_coonhound/n02089078_19.jpg,val,n02089078-black-and-tan_coonhound,n02089078-black-and-tan_coonhound/n02089078_3078.jpg,n02089078-black-and-tan_coonhound,0,4,False,True
n02089078-black-and-tan_coonhound/n02089078_2417.jpg,val,n02089078-black-and-tan_coonhound,n02089078-black-and-tan_coonhound/n02089078_3078.jpg,n02089078-black-and-tan_coonhound,1,2,False,True
n02091831-Saluki/n02091831_13767.jpg,val,n02091831-Saluki,n02091831-Saluki/n02091831_6323.jpg,n02091831-Saluki,0,0,True,True
n02093859-Kerry_blue_terrier/n02093859_3209.jpg,val,n02093859-Kerry_blue_terrier,n02093859-Kerry_blue_terrier/n02093859_324.jpg,n02093859-Kerry_blue_terrier,0,0,True,True
n02095314-wire-haired_fox_terrier/n02095314_3227.jpg,val,n02095314-wire-haired_fox_terrier,n02095314-wire-haired_fox_terrier/n02095314_3189.jpg,n02095314-wire-haired_fox_terrier,0,0,True,True
n02095570-Lakeland_terrier/n02095570_845.jpg,val,n02095570-Lakeland_terrier,n02095570-Lakeland_terrier/n02095570_1482.jpg,n02095570-Lakeland_terrier,3,4,False,True
n02095889-Sealyham_terrier/n02095889_1582.jpg,val,n02095889-Sealyham_terrier,n02095570-Lakeland_terrier/n02095570_1575.jpg,n02095570-Lakeland_terrier,0,0,True,False
n02095889-Sealyham_terrier/n02095889_2162.jpg,val,n02095889-Sealyham_terrier,n02095889-Sealyham_terrier/n02095889_4649.jpg,n02095889-Sealyham_terrier,5,4,False,True
n02096437-Dandie_Dinmont/n02096437_3112.jpg,val,n02096437-Dandie_Dinmont,n02096437-Dandie_Dinmont/n02096437_2580.jpg,n02096437-Dandie_Dinmont,0,6,False,True
n02098105-soft-coated_wheaten_terrier/n02098105_2945.jpg,val,n02098105-soft-coated_wheaten_terrier,n02098105-soft-coated_wheaten_terrier/n02098105_1090.jpg,n02098105-soft-coated_wheaten_terrier,0,0,True,True
n02099712-Labrador_retriever/n02099712_6619.jpg,val,n02099712-Labrador_retriever,n02099712-Labrador_retriever/n02099712_5689.jpg,n02099712-Labrador_retriever,5,6,False,True
n02102177-Welsh_springer_spaniel/n02102177_2388.jpg,val,n02102177-Welsh_springer_spaniel,n02102177-Welsh_springer_spaniel/n02102177_1999.jpg,n02102177-Welsh_springer_spaniel,0,0,True,True
n02102480-Sussex_spaniel/n02102480_5158.jpg,val,n02102480-Sussex_spaniel,n02102480-Sussex_spaniel/n02102480_6027.jpg,n02102480-Sussex_spaniel,0,4,False,True
n02102480-Sussex_spaniel/n02102480_8240.jpg,val,n02102480-Sussex_spaniel,n02102480-Sussex_spaniel/n02102480_5031.jpg,n02102480-Sussex_spaniel,5,8,False,True
n02102973-Irish_water_spaniel/n02102973_2442.jpg,val,n02102973-Irish_water_spaniel,n02102973-Irish_water_spaniel/n02102973_541.jpg,n02102973-Irish_water_spaniel,0,0,False,True
n02102973-Irish_water_spaniel/n02102973_2645.jpg,val,n02102973-Irish_water_spaniel,n02102973-Irish_water_spaniel/n02102973_4469.jpg,n02102973-Irish_water_spaniel,0,0,True,True
n02105162-malinois/n02105162_2079.jpg,val,n02105162-malinois,n02105162-malinois/n02105162_6449.jpg,n02105162-malinois,0,0,True,True
n02106030-collie/n02106030_16338.jpg,val,n02106030-collie,n02106166-Border_collie/n02106166_6710.jpg,n02106166-Border_collie,0,0,True,False
n02106166-Border_collie/n02106166_346.jpg,val,n02106166-Border_collie,n02106030-collie/n02106030_873.jpg,n02106030-collie,0,0,True,False
n02107574-Greater_Swiss_Mountain_dog/n02107574_2325.jpg,val,n02107574-Greater_Swiss_Mountain_dog,n02107574-Greater_Swiss_Mountain_dog/n02107574_988.jpg,n02107574-Greater_Swiss_Mountain_dog,0,0,False,True
n02107574-Greater_Swiss_Mountain_dog/n02107574_910.jpg,val,n02107574-Greater_Swiss_Mountain_dog,n02107574-Greater_Swiss_Mountain_dog/n02107574_261.jpg,n02107574-Greater_Swiss_Mountain_dog,1,2,False,True
n02108000-EntleBucher/n02108000_2891.jpg,val,n02108000-EntleBucher,n02108000-EntleBucher/n02108000_331.jpg,n02108000-EntleBucher,0,0,True,True
n02110627-affenpinscher/n02110627_11783.jpg,val,n02110627-affenpinscher,n02110627-affenpinscher/n02110627_12025.jpg,n02110627-affenpinscher,4,10,False,True
n02111129-Leonberg/n02111129_1115.jpg,val,n02111129-Leonberg,n02111129-Leonberg/n02111129_4423.jpg,n02111129-Leonberg,2,6,False,True
n02111129-Leonberg/n02111129_3388.jpg,val,n02111129-Leonberg,n02111129-Leonberg/n02111129_4792.jpg,n02111129-Leonberg,3,0,False,True
n02111129-Leonberg/n02111129_976.jpg,val,n02111129-Leonberg,n02111129-Leonberg/n02111129_571.jpg,n02111129-Leonberg,4,4,False,True
n02113624-toy_poodle/n02113624_2258.jpg,val,n02113624-toy_poodle,n02113712-miniature_poodle/n02113712_1558.jpg,n02113712-miniature_poodle,0,0,True,False
n02113978-Mexican_hairless/n02113978_2141.jpg,val,n02113978-Mexican_hairless,n02113978-Mexican_hairless/n02113978_3832.jpg,n02113978-Mexican_hairless,0,0,True,True
n02113978-Mexican_hairless/n02113978_2572.jpg,val,n02113978-Mexican_hairless,n02113978-Mexican_hairless/n02113978_1632.jpg,n02113978-Mexican_hairless,0,0,True,True
n02115641-dingo/n02115641_13565.jpg,val,n02115641-dingo,n02115641-dingo/n02115641_6577.jpg,n02115641-dingo,4,10,False,True
