label,breed_folder,breed_name,total,train,val,test,train_pct,val_pct,test_pct
33,n02093991-Irish_terrier,Irish Terrier,169,118,25,26,69.8,14.8,15.4
34,n02094114-Norfolk_terrier,Norfolk Terrier,172,120,25,27,69.8,14.5,15.7
35,n02094258-Norwich_terrier,Norwich Terrier,185,129,27,29,69.7,14.6,15.7
36,n02094433-Yorkshire_terrier,Yorkshire Terrier,164,114,24,26,69.5,14.6,15.9
37,n02095314-wire-haired_fox_terrier,Wire-Haired Fox Terrier,157,109,23,25,69.4,14.6,15.9
38,n02095570-Lakeland_terrier,Lakeland Terrier,197,137,29,31,69.5,14.7,15.7
39,n02095889-Sealyham_terrier,Sealyham Terrier,202,141,30,31,69.8,14.9,15.3
40,n02096051-Airedale,Airedale,202,141,30,31,69.8,14.9,15.3
41,n02096177-cairn,Cairn,197,137,29,31,69.5,14.7,15.7
42,n02096294-Australian_terrier,Australian Terrier,196,137,29,30,69.9,14.8,15.3
43,n02096437-Dandie_Dinmont,Dandie Dinmont,180,125,27,28,69.4,15.0,15.6
44,n02096585-Boston_bull,Boston Bull,182,127,27,28,69.8,14.8,15.4
45,n02097047-miniature_schnauzer,Miniature Schnauzer,154,107,23,24,69.5,14.9,15.6
46,n02097130-giant_schnauzer,Giant Schnauzer,157,109,23,25,69.4,14.6,15.9
47,n02097209-standard_schnauzer,Standard Schnauzer,155,108,23,24,69.7,14.8,15.5
48,n02097298-Scotch_terrier,Scotch Terrier,158,110,23,25,69.6,14.6,15.8
49,n02097474-Tibetan_terrier,Tibetan Terrier,206,144,30,32,69.9,14.6,15.5
50,n02097658-silky_terrier,Silky Terrier,183,128,27,28,69.9,14.8,15.3
51,n02098105-soft-coated_wheaten_terrier,Soft-Coated Wheaten Terrier,156,109,23,24,69.9,14.7,15.4
52,n02098286-West_Highland_white_terrier,West Highland White Terrier,169,118,25,26,69.8,14.8,15.4
53,n02098413-Lhasa,Lhasa,186,130,27,29,69.9,14.5,15.6
54,n02099267-flat-coated_retriever,Flat-Coated Retriever,152,106,22,24,69.7,14.5,15.8
55,n02099429-curly-coated_retriever,Curly-Coated Retriever,151,105,22,24,69.5,14.6,15.9
56,n02099601-golden_retriever,Golden Retriever,150,105,22,23,70.0,14.7,15.3
57,n02099712-Labrador_retriever,Labrador Retriever,171,119,25,27,69.6,14.6,15.8
58,n02099849-Chesapeake_Bay_retriever,Chesapeake Bay Retriever,167,116,25,26,69.5,15.0,15.6
59,n02100236-German_short-haired_pointer,German Short-Haired Pointer,152,106,22,24,69.7,14.5,15.8
60,n02100583-vizsla,Vizsla,154,107,23,24,69.5,14.9,15.6
61,n02100735-English_setter,English Setter,161,112,24,25,69.6,14.9,15.5
62,n02100877-Irish_setter,Irish Setter,155,108,23,24,69.7,14.8,15.5
63,n02101006-Gordon_setter,Gordon Setter,153,107,22,24,69.9,14.4,15.7
64,n02101388-Brittany_spaniel,Brittany Spaniel,152,106,22,24,69.7,14.5,15.8
65,n02101556-clumber,Clumber,150,105,22,23,70.0,14.7,15.3
66,n02102040-English_springer,English Springer,159,111,23,25,69.8,14.5,15.7
67,n02102177-Welsh_springer_spaniel,Welsh Springer Spaniel,150,105,22,23,70.0,14.7,15.3
68,n02102318-cocker_spaniel,Cocker Spaniel,159,111,23,25,69.8,14.5,15.7
69,n02102480-Sussex_spaniel,Sussex Spaniel,151,105,22,24,69.5,14.6,15.9
70,n02102973-Irish_water_spaniel,Irish Water Spaniel,150,105,22,23,70.0,14.7,15.3
71,n02104029-kuvasz,Kuvasz,150,105,22,23,70.0,14.7,15.3
72,n02104365-schipperke,Schipperke,154,107,23,24,69.5,14.9,15.6
73,n02105056-groenendael,Groenendael,150,105,22,23,70.0,14.7,15.3
74,n02105162-malinois,Malinois,150,105,22,23,70.0,14.7,15.3
75,n02105251-briard,Briard,152,106,22,24,69.7,14.5,15.8
76,n02105412-kelpie,Kelpie,153,107,22,24,69.9,14.4,15.7
77,n02105505-komondor,Komondor,154,107,23,24,69.5,14.9,15.6
78,n02105641-Old_English_sheepdog,Old English Sheepdog,169,118,25,26,69.8,14.8,15.4
79,n02105855-Shetland_sheepdog,Shetland Sheepdog,157,109,23,25,69.4,14.6,15.9
80,n02106030-collie,Collie,153,107,22,24,69.9,14.4,15.7
81,n02106166-Border_collie,Border Collie,150,105,22,23,70.0,14.7,15.3
82,n02106382-Bouvier_des_Flandres,Bouvier Des Flandres,150,105,22,23,70.0,14.7,15.3
83,n02106550-Rottweiler,Rottweiler,152,106,22,24,69.7,14.5,15.8
84,n02106662-German_shepherd,German Shepherd,152,106,22,24,69.7,14.5,15.8
85,n02107142-Doberman,Doberman,150,105,22,23,70.0,14.7,15.3
86,n02107312-miniature_pinscher,Miniature Pinscher,184,128,27,29,69.6,14.7,15.8
87,n02107574-Greater_Swiss_Mountain_dog,Greater Swiss Mountain Dog,168,117,25,26,69.6,14.9,15.5
88,n02107683-Bernese_mountain_dog,Bernese Mountain Dog,218,152,32,34,69.7,14.7,15.6
89,n02107908-Appenzeller,Appenzeller,151,105,22,24,69.5,14.6,15.9
90,n02108000-EntleBucher,Entlebucher,202,141,30,31,69.8,14.9,15.3
91,n02108089-boxer,Boxer,151,105,22,24,69.5,14.6,15.9
92,n02108422-bull_mastiff,Bull Mastiff,156,109,23,24,69.9,14.7,15.4
93,n02108551-Tibetan_mastiff,Tibetan Mastiff,152,106,22,24,69.7,14.5,15.8
94,n02108915-French_bulldog,French Bulldog,159,111,23,25,69.8,14.5,15.7
95,n02109047-Great_Dane,Great Dane,156,109,23,24,69.9,14.7,15.4
96,n02109525-Saint_Bernard,Saint Bernard,170,118,25,27,69.4,14.7,15.9
97,n02109961-Eskimo_dog,Eskimo Dog,150,105,22,23,70.0,14.7,15.3
98,n02110063-malamute,Malamute,178,124,26,28,69.7,14.6,15.7
99,n02110185-Siberian_husky,Siberian Husky,192,134,28,30,69.8,14.6,15.6
100,n02110627-affenpinscher,Affenpinscher,150,105,22,23,70.0,14.7,15.3
101,n02110806-basenji,Basenji,209,146,31,32,69.9,14.8,15.3
102,n02110958-pug,Pug,200,140,30,30,70.0,15.0,15.0
103,n02111129-Leonberg,Leonberg,210,147,31,32,70.0,14.8,15.2
104,n02111277-Newfoundland,Newfoundland,195,136,29,30,69.7,14.9,15.4
105,n02111500-Great_Pyrenees,Great Pyrenees,213,149,31,33,70.0,14.6,15.5
106,n02111889-Samoyed,Samoyed,218,152,32,34,69.7,14.7,15.6
107,n02112018-Pomeranian,Pomeranian,219,153,32,34,69.9,14.6,15.5
108,n02112137-chow,Chow,196,137,29,30,69.9,14.8,15.3
109,n02112350-keeshond,Keeshond,158,110,23,25,69.6,14.6,15.8
110,n02112706-Brabancon_griffon,Brabancon Griffon,153,107,22,24,69.9,14.4,15.7
111,n02113023-Pembroke,Pembroke,181,126,27,28,69.6,14.9,15.5
112,n02113186-Cardigan,Cardigan,155,108,23,24,69.7,14.8,15.5
113,n02113624-toy_poodle,Toy Poodle,151,105,22,24,69.5,14.6,15.9
114,n02113712-miniature_poodle,Miniature Poodle,155,108,23,24,69.7,14.8,15.5
115,n02113799-standard_poodle,Standard Poodle,159,111,23,25,69.8,14.5,15.7
116,n02113978-Mexican_hairless,Mexican Hairless,155,108,23,24,69.7,14.8,15.5
117,n02115641-dingo,Dingo,156,109,23,24,69.9,14.7,15.4
118,n02115913-dhole,Dhole,150,105,22,23,70.0,14.7,15.3
119,n02116738-African_hunting_dog,African Hunting Dog,169,118,25,26,69.8,14.8,15.4
,TOTAL,All breeds,20580,14355,3025,3200,69.8,14.7,15.5
